Hotel,Location,Type,Rating,Price,Segment,Sentiment
Lemon Tree Bir Billing,Bir Billing,Adventure,3.2,19231,Luxury,Negative
Sarovar Bir Billing,Bir Billing,Adventure,3.8,13169,Luxury,Positive
ITC Bir Billing,Bir Billing,Adventure,3.0,10646,Mid-range,Negative
Hilton Bir Billing,Bir Billing,Adventure,4.9,9840,Mid-range,Neutral
Marriott Bir Billing,Bir Billing,Adventure,4.3,14975,Luxury,Positive
ITC Bir Billing,Bir Billing,Adventure,4.1,15657,Luxury,Positive
Hyatt Bir Billing,Bir Billing,Adventure,4.6,20102,Luxury,Positive
FabHotel Auli,Auli,Adventure,4.1,2852,Budget,Positive
Lemon Tree Auli,Auli,Adventure,4.4,14329,Luxury,Negative
Treebo Auli,Auli,Adventure,4.2,19395,Luxury,Positive
Lemon Tree Auli,Auli,Adventure,3.4,11513,Mid-range,Positive
Leela Auli,Auli,Adventure,3.2,18096,Luxury,Positive
ITC Auli,Auli,Adventure,4.7,15160,Luxury,Negative
Taj Auli,Auli,Adventure,5.0,23760,Luxury,Neutral
Hilton Spiti Valley,Spiti Valley,Adventure,4.6,3462,Budget,Positive
Leela Spiti Valley,Spiti Valley,Adventure,3.7,7345,Mid-range,Positive
Novotel Spiti Valley,Spiti Valley,Adventure,3.9,1766,Budget,Positive
Hilton Spiti Valley,Spiti Valley,Adventure,4.6,19529,Luxury,Neutral
ITC Spiti Valley,Spiti Valley,Adventure,4.9,15209,Luxury,Positive
Taj Spiti Valley,Spiti Valley,Adventure,4.1,3447,Budget,Positive
FabHotel Spiti Valley,Spiti Valley,Adventure,4.9,1785,Budget,Positive
Radisson Udaipur,Udaipur,Romantic,4.8,23229,Luxury,Positive
ITC Udaipur,Udaipur,Romantic,4.0,24278,Luxury,Neutral
Sarovar Udaipur,Udaipur,Romantic,5.0,8420,Mid-range,Neutral
ITC Udaipur,Udaipur,Romantic,3.1,22677,Luxury,Positive
OYO Premium Udaipur,Udaipur,Romantic,3.2,10771,Mid-range,Positive
FabHotel Udaipur,Udaipur,Romantic,3.9,5920,Mid-range,Positive
Hilton Srinagar,Srinagar,Romantic,4.9,3326,Budget,Negative
Radisson Srinagar,Srinagar,Romantic,3.6,2259,Budget,Positive
Novotel Srinagar,Srinagar,Romantic,3.3,17591,Luxury,Negative
Novotel Srinagar,Srinagar,Romantic,3.8,23602,Luxury,Positive
Treebo Srinagar,Srinagar,Romantic,4.9,11328,Mid-range,Negative
Novotel Srinagar,Srinagar,Romantic,3.8,5373,Mid-range,Neutral
Oberoi Srinagar,Srinagar,Romantic,3.3,24700,Luxury,Positive
Treebo Ooty,Ooty,Romantic,4.7,24292,Luxury,Neutral
Oberoi Ooty,Ooty,Romantic,3.3,2365,Budget,Positive
Lemon Tree Ooty,Ooty,Romantic,4.6,21820,Luxury,Negative
Radisson Ooty,Ooty,Romantic,4.2,22959,Luxury,Neutral
FabHotel Ooty,Ooty,Romantic,3.5,21466,Luxury,Positive
Sarovar Ooty,Ooty,Romantic,3.5,7408,Mid-range,Positive
Taj Ooty,Ooty,Romantic,4.2,17284,Luxury,Positive
OYO Premium Ooty,Ooty,Romantic,4.0,2021,Budget,Positive
Leela Munnar,Munnar,Romantic,4.6,8732,Mid-range,Negative
Sarovar Munnar,Munnar,Romantic,3.8,22101,Luxury,Positive
Ginger Munnar,Munnar,Romantic,4.6,11382,Mid-range,Neutral
Leela Munnar,Munnar,Romantic,3.3,6504,Mid-range,Positive
Radisson Munnar,Munnar,Romantic,4.3,15790,Luxury,Positive
ITC Munnar,Munnar,Romantic,3.7,22747,Luxury,Positive
OYO Premium Munnar,Munnar,Romantic,3.6,22896,Luxury,Positive
Taj Munnar,Munnar,Romantic,3.3,23813,Luxury,Negative
Taj Coorg,Coorg,Romantic,3.9,7568,Mid-range,Negative
Hyatt Coorg,Coorg,Romantic,3.4,9664,Mid-range,Positive
Leela Coorg,Coorg,Romantic,3.3,3282,Budget,Positive
Ginger Coorg,Coorg,Romantic,4.4,10907,Mid-range,Positive
Marriott Coorg,Coorg,Romantic,4.8,9623,Mid-range,Positive
Novotel Coorg,Coorg,Romantic,4.2,24368,Luxury,Positive
Hyatt Coorg,Coorg,Romantic,3.6,5469,Mid-range,Positive
Radisson Alleppey,Alleppey,Romantic,3.9,4334,Mid-range,Positive
Oberoi Alleppey,Alleppey,Romantic,3.7,4525,Mid-range,Positive
FabHotel Alleppey,Alleppey,Romantic,4.3,20286,Luxury,Positive
Sarovar Alleppey,Alleppey,Romantic,3.8,5188,Mid-range,Positive
Marriott Alleppey,Alleppey,Romantic,4.5,20445,Luxury,Positive
Ginger Alleppey,Alleppey,Romantic,4.8,14109,Luxury,Positive
